afghani 阿富汗尼(阿富汗)
baht 铢(泰国)
balboa 巴波亚(巴拿马)
birr 比尔(埃塞俄比亚)
bolivar 玻利瓦(委内瑞拉)
cedi 塞迪(加纳)
CFAF 非洲金融共同体法郎
colon 科朗(哥斯达黎加、萨尔瓦多)
cordoba 科多巴(尼加拉瓜)
cruzeiro 克鲁塞罗(巴西)
dalasi 达拉西(冈比亚)
dinar 第纳尔(部分阿拉伯国家、南斯拉夫等）
dirham 迪拉姆(阿联酋、摩洛哥）
dobra 多布拉(圣多美和普林西比)
dollar 元(美国、澳大利亚、加拿大、新西兰等)
dong 盾(越南)
drachma 德拉克马(希腊)
EC dollar 东加勒比元(多米尼加联邦等)
escudo 埃斯库多(葡萄牙等)
florin 盾(荷兰)
forint 福林(匈牙利)
franc 法郎(法国、比利时、瑞士等)
gourde 古德(海地)
guarani 瓜拉尼(巴拉圭)
guilder 盾(苏里南)
gulden 盾(荷兰)
kina 基那(巴布亚新几内亚)
kip 基普(老挝)
koruna 克朗(捷克等)
krona 克朗(瑞典等)
krone 克朗(丹麦、挪威)
kwacha 克瓦查(赞比亚等)
kwanza 宽札(安哥拉)
kyat 元(缅甸)
leone 利昂(塞拉利昂)
leu 列伊(罗马尼亚)
lek 列克(阿尔巴尼亚)
lempira 伦皮拉(洪都拉斯)
lev 列弗(保加利亚)
lilangeni 里兰吉尼(斯威士兰)
lira 里拉(意大利等)
loti 洛蒂(莱索托)
mark 马克(德国)
markka 马克(芬兰)
metical 梅蒂尔卡(莫桑比克)
naira 奈拉(尼日利亚)
ngultrum 努扎姆(不丹)
ouguiya 乌吉亚(毛里塔尼亚)
pa'anga 潘加(汤加)
peseta 比塞塔(西班牙)
peseta 西班牙比塞塔(安道尔)
peso 比索(阿根廷、智利等)
pound 镑(英国、爱尔兰等)
pound sterling 英镑(基里巴斯)
pula 普拉(博茨瓦纳)
quetzal 格查尔(危地马拉)
rand 兰特(南非)
rial 里亚尔(伊朗等)
riel 瑞尔(柬埔寨)
riyal 里亚尔(沙特阿拉伯等)
rouble 卢布(俄罗斯等)
rufiyaa 拉菲亚(马尔代夫)
rupee 卢比(印度、巴基斯坦等)
rupiah 卢比，盾(印度尼西亚)
shekel 谢克尔(以色列)
schilling 先令(奥地利)
shilling 先令(坦桑尼亚等)
sol 索尔(秘鲁)
South African rand 南非兰特(纳米比亚)
sucre 苏克雷(厄瓜多尔)
Swiss franc 瑞士法郎(列支敦士登)
taka 塔卡(孟加拉国)
tala 塔拉(西萨摩亚)
tugrik 图格里克(蒙古)
won 元(朝鲜、韩国)
yen 元(日本)
yuan 元(中国)
vatu 瓦图(瓦努阿图)
zaire 扎伊尔(扎伊尔)
zloty 兹罗提(波兰)
